radtrans_id,name,molar_mass,H04,G03,H12,H16,N_iso,isotopes
82,FeH,56.852941,-99,-99,-99,-99,1,[61]
83,AlO,42.980943,-99,-99,-99,-99,1,[76]
84,AlCl,62.434438,-99,-99,-99,-99,1,[75]
85,AlF,45.979942,-99,-99,-99,-99,1,[79]
86,AlH,27.989479,-99,-99,-99,-99,1,[71]
87,BeH,10.020124,-99,-99,-99,-99,1,[91]
88,C2,24.02148,-99,-99,-99,-99,1,[22]
89,CaF,59.076403,-99,-99,-99,-99,1,[409]
90,CaH,41.085941,-99,-99,-99,-99,1,[401]
91,H-,1.00849,-99,-99,-99,-99,1,[111]
92,CaO,56.077405,-99,-99,-99,-99,1,[406]
93,CH,13.018681,-99,-99,-99,-99,1,[21]
94,CH3,15.034563,-99,-99,-99,-99,1,[211]
95,CH3F,34.032966,-99,-99,-99,-99,1,[219]
96,CN,26.017443,-99,-99,-99,-99,1,[24]
97,CP,42.984502,-99,-99,-99,-99,1,[231]
98,CrH,53.004041,-99,-99,-99,-99,1,[521]
99,HD+,3.021494,-99,-99,-99,-99,1,[11]
100,HeH+,5.009994,-99,-99,-99,-99,1,[41]
101,KCl,74.5512,-99,-99,-99,-99,1,[395]
102,KF,58.096703,-99,-99,-99,-99,1,[399]
103,LiCl,42.3929,-99,-99,-99,-99,1,[75]
104,LiF,25.938403,-99,-99,-99,-99,1,[79]
105,LiH,7.947941,-99,-99,-99,-99,1,[71]
106,LiH+,7.947392,-99,-99,-99,-99,1,[71]
107,MgF,43.303503,-99,-99,-99,-99,1,[249]
108,MgH,25.313041,-99,-99,-99,-99,1,[241]
109,MgO,40.304505,-99,-99,-99,-99,1,[246]
110,NaCl,58.442669,-99,-99,-99,-99,1,[235]
111,NaF,41.988172,-99,-99,-99,-99,1,[239]
112,NaH,23.99771,-99,-99,-99,-99,1,[231]
113,NH,15.014644,-99,-99,-99,-99,1,[41]
114,NS,46.071503,-99,-99,-99,-99,1,[42]
115,OH+,17.006797,-99,-99,-99,-99,1,[61]
116,cis-P2H2,63.9634,-99,-99,-99,-99,1,[311]
117,trans-P2H2,63.9634,-99,-99,-99,-99,1,[311]
118,PH,31.981703,-99,-99,-99,-99,1,[311]
119,PN,44.980465,-99,-99,-99,-99,1,[314]
120,PO,46.973167,-99,-99,-99,-99,1,[316]
