nu,sw,nu-err,sw-err,nu-ref,sw-ref
2779.140513,1.175e-28,1,4,752,752
2779.145713,1.897e-26,5,3,245,254
2779.152982,1.041e-28,3,3,245,242
2779.170993,3.796e-25,4,6,752,752
2779.175563,8.005e-28,3,3,245,242
2779.179644,3.761e-25,4,3,247,744
2779.207494,2.611e-29,1,5,752,752
2779.21806,8.711e-24,3,4,744,744
2779.221858,2.629e-29,3,6,752,752
2779.229559,3.145e-27,3,3,247,744
2779.259293,5.782e-26,4,6,752,752
2779.262081,8.239e-26,3,3,744,744
2779.26536,1.39e-26,3,3,744,744
2779.292528,7.653e-25,3,3,239,257
2779.293256,2.358e-27,3,3,247,744
2779.297103,1.611e-27,1,6,752,752
2779.305234,4.965e-28,1,6,752,752
2779.313131,1.146e-25,3,3,744,744
2779.313661,2.278e-27,3,3,245,242
2779.320369,1.788e-28,1,6,752,752
2779.33861,3.442e-25,5,3,245,242
2779.354751,1.176e-26,1,6,752,752
2779.362231,1.761e-26,1,6,752,752
2779.364056,2.031e-24,3,6,752,752
2779.364166,1.383e-27,3,3,744,744
2779.365504,1.613e-28,3,3,245,242
2779.369504,8.189e-29,3,3,245,242
2779.374133,1.18e-24,3,3,239,257
2779.374878,4.613e-28,1,6,752,752
2779.374979,1.669e-28,3,3,245,242
2779.376355,2.946e-26,1,6,752,752
2779.390692,7.978e-24,4,4,744,744
2779.395592,1.307e-24,3,3,239,257
2779.41047,1.675e-28,3,3,245,242
2779.422128,8.738e-28,2,3,247,744
2779.435912,2.126e-23,3,6,752,752
2779.441239,2.679e-27,3,3,247,744
2779.448437,4.273e-27,3,3,245,242
2779.452377,6.773e-29,3,3,245,242
2779.483192,1.698e-22,4,5,744,744
2779.524281,1.827e-24,3,4,744,744
2779.524742,2.235e-28,3,3,245,242
2779.544245,5.419e-28,3,3,245,242
2779.545289,1.786e-28,3,3,245,254
2779.547684,8.181e-25,4,3,247,744
2779.553911,3.214e-28,3,3,245,242
2779.563188,2.839e-28,3,3,245,242
2779.563554,9.893e-26,3,6,752,752
2779.565137,1.359e-23,3,4,744,744
2779.567258,6.712e-29,3,3,245,242
2779.5735,6.57e-23,4,5,744,744
2779.576931,2.882e-24,3,4,744,744
2779.584431,2.012e-28,1,5,752,752
2779.58552,3.781e-29,2,3,247,744
2779.604562,2.635e-27,3,6,752,752
2779.609685,3.352e-25,4,3,247,744
2779.61674,1.356e-25,4,3,744,744
2779.662782,7.211e-26,3,3,247,744
2779.66801,5.511e-24,4,4,744,744
2779.692526,3.404e-25,4,3,247,744
2779.697162,1.252e-25,3,6,752,752
2779.702549,2.044e-28,3,3,245,242
2779.704354,5.2e-27,3,6,752,752
2779.705837,7.7e-24,3,4,744,744
2779.711724,1.718e-28,3,3,245,242
2779.717634,1.945e-29,3,4,752,752
2779.722503,3.866e-24,3,4,744,744
2779.72454,4.282e-24,4,4,744,744
2779.725786,1.123e-26,3,3,247,744
2779.725844,1.123e-26,3,3,247,744
2779.727,1.325e-23,4,4,744,744
2779.734692,5.348e-25,4,3,744,744
2779.748299,5.556e-25,3,3,744,744
2779.74836,1.447e-27,3,3,245,242
2779.758698,1.432e-28,1,5,752,752
2779.759997,2.808e-29,1,4,752,752
2779.761421,1.888e-25,3,3,744,744
2779.779637,7.081e-27,3,3,245,242
2779.782249,2.262e-23,3,4,744,744
2779.80737,3.159e-25,5,3,245,242
2779.809977,8.345e-26,3,3,247,744
2779.814131,3.478e-26,3,3,744,744
2779.816801,1.098e-24,3,4,744,744
2779.818619,2.449e-27,3,3,247,744
2779.819004,2.166e-28,1,5,752,752
2779.823799,1.259e-24,3,4,744,744
2779.82751,2.167e-28,3,3,245,242
2779.834538,2.309e-27,3,3,245,242
2779.836611,1.275e-28,3,3,245,242
2779.844845,2.052e-29,1,4,752,752
2779.86446,5.739e-25,3,3,239,257
2779.865372,1.946e-28,3,3,245,254
2779.86614,2.049e-24,4,4,744,744
2779.873554,5.372e-29,3,6,752,752
2779.874749,2.747e-24,3,4,744,744
2779.875037,1.366e-23,3,4,744,744
2779.878194,1.846e-26,1,6,752,752
2779.879929,1.852e-26,1,6,752,752
2779.880027,8.682e-29,3,3,245,242
2779.880789,1.477e-25,4,3,247,744
2779.889129,6.816e-25,3,3,239,257
2779.892572,1.977e-28,1,4,752,752
2779.892673,6.01e-28,1,6,752,752
2779.904231,5.97e-26,3,3,744,744
2779.914721,2.801e-28,1,5,752,752
2779.919184,3.257e-28,3,3,245,242
2779.923486,6.923e-29,1,6,752,752
2779.926082,2.475e-27,3,3,744,744
2779.931751,4.772e-28,3,3,245,242
2779.939275,4.329e-28,3,3,245,242
2779.944962,1.729e-27,3,3,247,744
2779.947216,3.685e-27,1,6,752,752
2779.948662,4.198e-29,3,6,752,752
